Game,Copies sold,Release date[a],Genre(s),Developer(s),Publisher(s)
Marvel's Spider-Man,20 million,"September 7, 2018",Action-adventure,Insomniac Games,Sony Interactive Entertainment
God of War,19.5 million,"April 20, 2018",Action-adventure hack and slash,Santa Monica Studio,Sony Interactive Entertainment
Uncharted 4: A Thief's End,16 million,"May 10, 2016",Action-adventure,Naughty Dog,Sony Interactive Entertainment
The Witcher 3: Wild Hunt,10.8 million,"May 18, 2015",Action role-playing,CD Projekt Red,CD Projekt
The Last of Us Part II,10 million,"June 19, 2020",Action-adventure survival horror,Naughty Dog,Sony Interactive Entertainment
Horizon Zero Dawn,10 million,"February 28, 2017",Action role-playing,Guerrilla Games,Sony Interactive Entertainment
The Last of Us Remastered,10 million,"July 29, 2014",Action-adventure survival horror,Naughty Dog,Sony Computer Entertainment
Ghost of Tsushima,9.73 million,"July 17, 2020",Action-adventure stealth,Sucker Punch Productions,Sony Interactive Entertainment
Star Wars Battlefront,8.42 million,"November 17, 2015",First-person shooter third-person shooter,EA DICE,Electronic Arts
Gran Turismo Sport,8 million,"October 17, 2017",Racing,Polyphony Digital,Sony Interactive Entertainment
Infamous Second Son,6 million,"March 21, 2014",Action-adventure,Sucker Punch Productions,Sony Computer Entertainment
Detroit: Become Human,5.5 million,"May 25, 2018",Adventure,Quantic Dream,Sony Interactive Entertainment
Final Fantasy VII Remake,5 million,"April 10, 2020",Action role-playing,Square Enix,Square Enix
Monster Hunter: World,4.67 million,"January 26, 2018",Action role-playing,Capcom,Capcom
Cyberpunk 2077,3.83 million,"December 10, 2020",Action role-playing,CD Projekt Red,CD Projekt
FIFA 17,3.12 million,"September 27, 2016",Sports,EA Canada EA Bucharest,EA Sports
Crash Bandicoot N. Sane Trilogy,2.5 million,"June 30, 2017",Platform,Vicarious Visions,Activision
Final Fantasy XV,2.5 million,"November 29, 2016",Action role-playing,Square Enix Business Division 2,Square Enix
Persona 5 Royal,2.3 million,"October 31, 2019",Role-playing social simulation,P-Studio,Atlus
Killzone: Shadow Fall,2.1 million,"November 15, 2013",First-person shooter,Guerrilla Games,Sony Computer Entertainment
Grand Theft Auto V,2.02 million,"November 18, 2014",Action-adventure,Rockstar North,Rockstar Games
Bloodborne,2 million,"March 24, 2015",Action role-playing,FromSoftware,Sony Computer Entertainment
Driveclub,2 million,"October 7, 2014",Racing,Evolution Studios,Sony Computer Entertainment
Knack,2 million,"November 15, 2013",Platform beat 'em up,Japan Studio,Sony Computer Entertainment
Minecraft: PlayStation 4 Edition,2 million,"September 4, 2014",Sandbox survival,4J Studios,Sony Computer Entertainment
Nier: Automata,1.6 million,"February 23, 2017",Action role-playing,PlatinumGames,Square Enix
Nioh 2,1.4 million,"March 12, 2020",Action role-playing,Team Ninja,WW: Sony Interactive Entertainment JP: Koei Tecmo
Battlefield 1,1.3 million,"October 21, 2016",First-person shooter,EA DICE,Electronic Arts
Dragon Quest XI: Echoes of an Elusive Age,1.3 million,"July 29, 2017",Role-playing,Square Enix,Square Enix
Metal Gear Solid V: The Phantom Pain,1.1 million,"September 1, 2015",Action-adventure stealth,Kojima Productions,Konami
Final Fantasy XII: The Zodiac Age,1 million,"July 11, 2017",Role-playing,Square Enix,Square Enix
Kingdom Hearts III,1 million,"January 25, 2019",Action role-playing,Square Enix,Square Enix
Nioh,1 million,"February 7, 2017",Action role-playing,Team Ninja,WW: Sony Interactive Entertainment JP: Koei Tecmo
